! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
AR0808   #mmCH3c1cHcHcHcHc1COCH3                                                                                                   RK                            
AR0809   #mmCH3CH2C1(CHO)-O-C1(CH3)CO(OO.)                                                                                         3.DKE                    
AR0810   #mmCH3CH2C1(CHO)-O-C1(CH3)CH(OH)CH(O.)CHO                                                                                 1.DDOE                    
AR0811   #mmCH3CH2C1(CHO)-O-C1(CH3)CH(OH)CH(ONO2)CHO                                                                               NDDOE                    
AR0812   #mmCH3CH2C1(CHO)-O-C1(CH3)CH(OH)CH(OOH)CHO                                                                                HDDOE                    
AR0813   #mmCH3CH2C1(CO(OONO2))-O-C1(CH3)CdH=CdHCHO                                                                                PUDE                     
AR0814   #mmCH3CH2C1(CO(OOH))-O-C1(CH3)CdH=CdHCHO                                                                                  GUDE                     
AR0815   #mmCH3CH2C1(CO(OH))-O-C1(CH3)CdH=CdHCHO                                                                                   AUDE                     
AR0816   #mmCH3c1cHcHcHc(OO.)c1CH2CH3                                                                                              2.R                      
AR0817   #mmCH3CH2c1c(OH)c(NO2)cHcHc1CH3                                                                                           RVO                      
AR0818   #mmCH3CH2C12-O--O-CH(C2H(OH))C(OH)(O.)CdH=Cd1CH3                                                                          1.UOOEE                    
AR0819   #mmCH3CH2C12-O--O-CH(C2H(OH))C(OH)(OOH)CdH=Cd1CH3                                                                         HUOOEE                    
AR0820   #mmCH3c1cHcHc(OH)c(O.)c1CH2CH3                                                                                            1.RO                     
AR0821   #OTCATECOOA                                                                                                               K                            
AR0822   #mmC12H-O--O-CH(C2H(ONO2))C(OH)(O.)Cd(CH2CH3)=Cd1CH3                                                                      1.NUOEE                    
AR0823   #mmC12H-O--O-CH(C2H(ONO2))C(OH)(OOH)Cd(CH2CH3)=Cd1CH3                                                                     HNUOEE                    
AR0824   #mmCH3c1cHcHcHcHc1COCH2(OO.)                                                                                              2.RK                     
AR0825   #mmCH3C1(CO(OONO2))-O-C1(CHO)CH2CH3                                                                                       PDE                      
AR0826   #mmCH3C1(CO(OOH))-O-C1(CHO)CH2CH3                                                                                         GDE                      
AR0827   #mmCH3C1(CO(OH))-O-C1(CHO)CH2CH3                                                                                          ADE                      
AR0828   #mmCH3CH2C1(CHO)-O-C1(CH3)CH(OH)COCHO                                                                                     DDKOE                    
AR0829   #mmCH3c1cHcHcHc(OOH)c1CH2CH3                                                                                              RH                            
AR0830   #mmCH3c1cHcHc(NO2)c(O.)c1CH2CH3                                                                                           1.RV                     
AR0831   #mmC1OCdH=CdHCOCd(CH3)=Cd1CH2CH3                                                                                          UUKK                     
AR0832   #mmCH3CH2c1c(OH)c(OH)c(NO2)cHc1CH3                                                                                        RVOO                     
AR0833   #mmCH3c1cHcHc(OH)c(OO.)c1CH2CH3                                                                                           2.RO                     
AR0834   #mmCH3c1cHcHcHcHc1COCH2(O.)                                                                                               1.RK                     
AR0835   #mmCH3c1cHcHcHcHc1COCH2(OOH)                                                                                              RHK                      
AR0836   #mmCH3CH2c1c(OH)c(NO2)cHc(NO2)c1CH3                                                                                       RVVO                     
AR0837   #mmCH3c1cHcHc(NO2)c(OO.)c1CH2CH3                                                                                          2.RV                     
AR0838   #mmC1OCH(OH)CH(OO.)COCd(CH3)=Cd1CH2CH3                                                                                    2.UKKO                    
AR0839   #mmC1OCH(ONO2)CH(OO.)COCd(CH3)=Cd1CH2CH3                                                                                  2.NUKK                    
AR0840   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OO.)Cd(OH)=Cd1CH2CH3                                                                  2.UVOOOEE                    
AR0841   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OO.)Cd(OH)=Cd1CH2CH3                                                                2.NUVOOEE                    
AR0842   #mmCH3c1cHcHc(OH)c(OOH)c1CH2CH3                                                                                           RHO                      
AR0843   #mmCH3c1cHcHcHcHc1COCHO                                                                                                   RDK                      
AR0844   #mmCH3CH2C12-O--O-C(NO2)(C2H(OH))C(OH)(OO.)Cd(NO2)=Cd1CH3                                                                 2.UVVOOEE                    
AR0845   #mmCH3CH2C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OO.)Cd(NO2)=Cd1CH3                                                               2.NUVVOEE                    
AR0846   #mmCH3c1cHcHc(NO2)c(OOH)c1CH2CH3                                                                                          RHV                      
AR0847   #mmC1OCH(OH)CH(O.)COCd(CH3)=Cd1CH2CH3                                                                                     1.UKKO                    
AR0848   #mmC1OCH(OH)CH(OOH)COCd(CH3)=Cd1CH2CH3                                                                                    HUKKO                    
AR0849   #mmC1OCH(ONO2)CH(O.)COCd(CH3)=Cd1CH2CH3                                                                                   1.NUKK                    
AR0850   #mmC1OCH(ONO2)CH(OOH)COCd(CH3)=Cd1CH2CH3                                                                                  HNUKK                    
AR0851   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(O.)Cd(OH)=Cd1CH2CH3                                                                   1.UVOOOEE                    
AR0852   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OOH)Cd(OH)=Cd1CH2CH3                                                                  HUVOOOEE                    
AR0853   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(O.)Cd(OH)=Cd1CH2CH3                                                                 1.NUVOOEE                    
AR0854   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OOH)Cd(OH)=Cd1CH2CH3                                                                HNUVOOEE                    
AR0855   #mmCH3CH2C12-O--O-C(NO2)(C2H(OH))C(OH)(O.)Cd(NO2)=Cd1CH3                                                                  1.UVVOOEE                    
AR0856   #mmCH3CH2C12-O--O-C(NO2)(C2H(OH))C(OH)(OOH)Cd(NO2)=Cd1CH3                                                                 HUVVOOEE                    
AR0857   #mmCH3CH2C12-O--O-C(NO2)(C2H(ONO2))C(OH)(O.)Cd(NO2)=Cd1CH3                                                                1.NUVVOEE                    
AR0858   #mmCH3CH2C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OOH)Cd(NO2)=Cd1CH3                                                               HNUVVOEE                    
AR0859   #mmC1OCH(OH)COCOCd(CH3)=Cd1CH2CH3                                                                                         UKKKO                    
AR0860   #mmc1Hc(CH3)cHcHcHc1CH2CH3                                                                                                R                            
AR0861   #mm-O2--O-C(CH3)(C1H(OH))CdH=CdHCH(OO.)C12CH2CH3                                                                          2.UOEE                    
AR0862   #mmCH3CH2COCdH=CdHC1H-O-C1(CH3)CHO                                                                                        UDKE                     
AR0863   #mmc1HcHcHc(CH3)c(OH)c1CH2CH3                                                                                             RO                            
AR0864   #mm-O2--O-C(CH3)(C1H(OH))CdH=CdHCH(O.)C12CH2CH3                                                                           1.UOEE                    
AR0865   #mmC2H(ONO2)CdH=CdHC(CH3)(C1H(OH))-O--O-C12CH2CH3                                                                         NUOEE                    
AR0866   #mmC2H(OOH)CdH=CdHC(CH3)(C1H(OH))-O--O-C12CH2CH3                                                                          HUOEE                    
AR0867   #mmCH3CH2COCH(OO.)CH(OH)C1H-O-C1(CH3)CHO                                                                                  2.DKOE                    
AR0868   #mmCH3CH2COCdH=CdHC1H-O-C1(CH3)CO(OO.)                                                                                    3.UKKE                    
AR0869   #mmc1HcHcHc(CH3)c(O.)c1CH2CH3                                                                                             1.R                      
AR0870   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(OO.)CdH=CdHC12CH2CH3                                                                       2.UOOEE                    
AR0871   #mmc1Hc(CH3)cHc(OH)c(OH)c1CH2CH3                                                                                          ROO                      
AR0872   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(OO.)CdH=CdHC12CH2CH3                                                                     2.NUOEE                    
AR0873   #mmC2OCdH=CdHC(CH3)(C1H(OH))-O--O-C12CH2CH3                                                                               UKOEE                    
AR0874   #mmCH3CH2COCH(O.)CH(OH)C1H-O-C1(CH3)CHO                                                                                   1.DKOE                    
AR0875   #mmCH3CH2COCH(ONO2)CH(OH)C1H-O-C1(CH3)CHO                                                                                 NDKOE                    
AR0876   #mmCH3CH2COCH(OOH)CH(OH)C1H-O-C1(CH3)CHO                                                                                  HDKOE                    
AR0877   #mmCH3CH2COCdH=CdHC1H-O-C1(CH3)CO(OONO2)                                                                                  PUKE                     
AR0878   #mmCH3CH2COCdH=CdHC1H-O-C1(CH3)CO(OOH)                                                                                    GUKE                     
AR0879   #mmCH3CH2COCdH=CdHC1H-O-C1(CH3)CO(OH)                                                                                     AUKE                     
AR0880   #mmc1Hc(CH3)cHcHc(OO.)c1CH2CH3                                                                                            2.R                      
AR0881   #mmc1Hc(CH3)cHc(NO2)c(OH)c1CH2CH3                                                                                         RVO                      
AR0882   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(O.)CdH=CdHC12CH2CH3                                                                        1.UOOEE                    
AR0883   #mmC2(OH)(OOH)CdH=CdHC1(CH2CH3)-O--O-C2(C1H(OH))CH3                                                                       HUOOEE                    
AR0884   #mmCH3CH2c(c1H)c(O.)c(OH)cHc1CH3                                                                                          1.RO                     
AR0885   #MTCATECOOA                                                                                                               K                            
AR0886   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(O.)CdH=CdHC12CH2CH3                                                                      1.NUOEE                    
AR0887   #mmC2(OH)(OOH)CdH=CdHC1(CH2CH3)-O--O-C2(C1H(ONO2))CH3                                                                     HNUOEE                    
AR0888   #mmCH3CH2COCOCH(OH)C1H-O-C1(CH3)CHO                                                                                       DKKOE                    
AR0889   #mmc1Hc(CH3)cHcHc(OOH)c1CH2CH3                                                                                            RH                            
AR0890   #mmCH3c1cHc(NO2)c(O.)c(c1H)CH2CH3                                                                                         1.RV                     
AR0891   #mmC1OCd(CH3)=CdHCOCdH=Cd1CH2CH3                                                                                          UUKK                     
AR0892   #mmc1Hc(CH3)c(NO2)c(OH)c(OH)c1CH2CH3                                                                                      RVOO                     
AR0893   #mmCH3CH2c(c1H)c(OO.)c(OH)cHc1CH3                                                                                         2.RO                     
AR0894   #mmc1Hc(NO2)c(OH)c(CH3)c(NO2)c1CH2CH3                                                                                     RVVO                     
AR0895   #mmCH3c1cHc(NO2)c(OO.)c(c1H)CH2CH3                                                                                        2.RV                     
AR0896   #mmC1OC(OO.)(CH3)CH(OH)COCdH=Cd1CH2CH3                                                                                    2.UKKO                    
AR0897   #mmC1OC(OO.)(CH3)CH(ONO2)COCdH=Cd1CH2CH3                                                                                  2.NUKK                    
AR0898   #mm-O2--O-C(CH3)(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH2CH3                                                                2.UVOOOEE                    
AR0899   #mm-O2--O-C(CH3)(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH2CH3                                                              2.NUVOOEE                    
AR0900   #mmCH3CH2c(c1H)c(OOH)c(OH)cHc1CH3                                                                                         RHO                      
AR0901   #mm-O2--O-C(NO2)(C1H(OH))Cd(NO2)=Cd(CH2CH3)C(OH)(OO.)C12CH3                                                               2.UVVOOEE                    
AR0902   #mm-O2--O-C(NO2)(C1H(ONO2))Cd(NO2)=Cd(CH2CH3)C(OH)(OO.)C12CH3                                                             2.NUVVOEE                    
AR0903   #mmCH3c1cHc(NO2)c(OOH)c(c1H)CH2CH3                                                                                        RHV                      
AR0904   #mmC1OC(O.)(CH3)CH(OH)COCdH=Cd1CH2CH3                                                                                     1.UKKO                    
AR0905   #mmC1H(OH)COCdH=Cd(CH2CH3)COC1(OOH)CH3                                                                                     HKKO                     
AR0906   #mmC1OC(O.)(CH3)CH(ONO2)COCdH=Cd1CH2CH3                                                                                   1.NUKK                    
AR0907   #mmCH3C1(OOH)CH(ONO2)COCdH=Cd(C1O)CH2CH3                                                                                  HNUKK                    
AR0908   #mm-O2--O-C(CH3)(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH2CH3                                                                 1.UVOOOEE                    
AR0909   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1H(OH))-O--O-C12CH2CH3                                                                HUVOOOEE                    
AR0910   #mm-O2--O-C(CH3)(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH2CH3                                                               1.NUVOOEE                    
AR0911   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1H(ONO2))-O--O-C12CH2CH3                                                              HNUVOOEE                    
AR0912   #mm-O2--O-C(NO2)(C1H(OH))Cd(NO2)=Cd(CH2CH3)C(OH)(O.)C12CH3                                                                1.UVVOOEE                    
AR0913   #mmCH3C12-O--O-C(NO2)(C1H(OH))Cd(NO2)=Cd(C2(OH)(OOH))CH2CH3                                                               HUVVOOEE                    
AR0914   #mm-O2--O-C(NO2)(C1H(ONO2))Cd(NO2)=Cd(CH2CH3)C(OH)(O.)C12CH3                                                              1.NUVVOEE                    
AR0915   #mmCH3C12-O--O-C(NO2)(C1H(ONO2))Cd(NO2)=Cd(C2(OH)(OOH))CH2CH3                                                             HNUVVOEE                    
AR0916   #mmc1HcHc(CH3)cHcHc1CH2CH3                                                                                                R                            
AR0917   #mmC2H(OH)C1H-O--O-C2(CH2CH3)CdH=CdHC1(OO.)CH3                                                                            2.UOEE                    
AR0918   #mmCH3CH2COCdH=CdHC1(CH3)-O-C1HCHO                                                                                        UDKE                     
AR0919   #mmc1HcHc(CH3)cHc(OH)c1CH2CH3                                                                                             RO                            
AR0920   #mmC2H(OH)C1H-O--O-C2(CH2CH3)CdH=CdHC1(O.)CH3                                                                             1.UOEE                    
AR0921   #mmC2H(OH)C1H-O--O-C2(CH2CH3)CdH=CdHC1(ONO2)CH3                                                                           NUOEE                    
AR0922   #mmC2H(OH)C1H-O--O-C2(CH2CH3)CdH=CdHC1(OOH)CH3                                                                            HUOEE                    
AR0923   #mmCH3CH2COCH(OO.)CH(OH)C1(CH3)-O-C1HCHO                                                                                  2.DKOE                    
AR0924   #mmCH3CH2COCdH=CdHC1(CH3)-O-C1HCO(OO.)                                                                                    3.UKKE                    
AR0925   #mmc1HcHc(CH3)cHc(O.)c1CH2CH3                                                                                             1.R                      
AR0926   #mmC2H(OH)C1H-O--O-C2(CH2CH3)C(OH)(OO.)CdH=Cd1CH3                                                                         2.UOOEE                    
AR0927   #mmc1HcHc(CH3)c(OH)c(OH)c1CH2CH3                                                                                          ROO                      
AR0928   #mmC2H(ONO2)C1H-O--O-C2(CH2CH3)C(OH)(OO.)CdH=Cd1CH3                                                                       2.NUOEE                    
AR0929   #mmCH3CH2COCH(O.)CH(OH)C1(CH3)-O-C1HCHO                                                                                   1.DKOE                    
AR0930   #mmCH3CH2COCH(ONO2)CH(OH)C1(CH3)-O-C1HCHO                                                                                 NDKOE                    
AR0931   #mmCH3CH2COCH(OOH)CH(OH)C1(CH3)-O-C1HCHO                                                                                  HDKOE                    
AR0932   #mmCH3CH2COCdH=CdHC1(CH3)-O-C1HCO(OONO2)                                                                                  PUKE                     
AR0933   #mmCH3CH2COCdH=CdHC1(CH3)-O-C1HCO(OOH)                                                                                    GUKE                     
AR0934   #mmCH3CH2COCdH=CdHC1(CH3)-O-C1HCO(OH)                                                                                     AUKE                     
AR0935   #mmc1HcHc(CH3)cHc(OO.)c1CH2CH3                                                                                            2.R                      
AR0936   #mmc1HcHc(CH3)c(NO2)c(OH)c1CH2CH3                                                                                         RVO                      
AR0937   #mmC2H(OH)C1H-O--O-C2(CH2CH3)C(OH)(O.)CdH=Cd1CH3                                                                          1.UOOEE                    
AR0938   #mmC2H(OH)C1H-O--O-C2(CH2CH3)C(OH)(OOH)CdH=Cd1CH3                                                                         HUOOEE                    
AR0939   #mmc1HcHc(CH3)c(OH)c(O.)c1CH2CH3                                                                                          1.RO                     
AR0940   #PTCATECOOA                                                                                                               K                            
AR0941   #mmC2H(ONO2)C1H-O--O-C2(CH2CH3)C(OH)(O.)CdH=Cd1CH3                                                                        1.NUOEE                    
AR0942   #mmC2H(ONO2)C1H-O--O-C2(CH2CH3)C(OH)(OOH)CdH=Cd1CH3                                                                       HNUOEE                    
AR0943   #mmCH3CH2COCOCH(OH)C1(CH3)-O-C1HCHO                                                                                       DKKOE                    
AR0944   #mmc1HcHc(CH3)cHc(OOH)c1CH2CH3                                                                                            RH                            
AR0945   #mmc1HcHc(CH3)c(NO2)c(O.)c1CH2CH3                                                                                         1.RV                     
AR0946   #mmC1OCdH=Cd(CH3)COCdH=Cd1CH2CH3                                                                                          UUKK                     
AR0947   #mmc1Hc(NO2)c(CH3)c(OH)c(OH)c1CH2CH3                                                                                      RVOO                     
AR0948   #mmc1HcHc(CH3)c(OH)c(OO.)c1CH2CH3                                                                                         2.RO                     
AR0949   #mmc1Hc(NO2)c(CH3)c(NO2)c(OH)c1CH2CH3                                                                                     RVVO                     
AR0950   #mmc1HcHc(CH3)c(NO2)c(OO.)c1CH2CH3                                                                                        2.RV                     
AR0951   #mmC1OCH(OH)C(OO.)(CH2CH3)COCdH=Cd1CH3                                                                                    2.UKKO                    
AR0952   #mmC1OCH(ONO2)C(OO.)(CH3)COCdH=Cd1CH2CH3                                                                                  2.NUKK                    
AR0953   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OO.)Cd(OH)=Cd1CH3                                                                  2.UVOOOEE                    
AR0954   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OO.)Cd(OH)=Cd1CH3                                                                2.NUVOOEE                    
AR0955   #mmc1HcHc(CH3)c(OH)c(OOH)c1CH2CH3                                                                                         RHO                      
AR0956   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OO.)Cd(NO2)=Cd1CH3                                                                 2.UVVOOEE                    
AR0957   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OO.)Cd(NO2)=Cd1CH3                                                               2.NUVVOEE                    
AR0958   #mmc1HcHc(CH3)c(NO2)c(OOH)c1CH2CH3                                                                                        RHV                      
AR0959   #mmC1OCH(OH)C(O.)(CH2CH3)COCdH=Cd1CH3                                                                                     1.UKKO                    
AR0960   #mmC1H(OH)COCd(CH3)=CdHCOC1(OOH)CH2CH3                                                                                    HUKKO                    
AR0961   #mmC1OCH(ONO2)C(O.)(CH3)COCdH=Cd1CH2CH3                                                                                   1.NUKK                    
AR0962   #mmC1OCdH=Cd(CH2CH3)COCH(ONO2)C1(OOH)CH3                                                                                  HNUKK                    
AR0963   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(O.)Cd(OH)=Cd1CH3                                                                   1.UVOOOEE                    
AR0964   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OOH)Cd(OH)=Cd1CH3                                                                  HUVOOOEE                    
AR0965   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(O.)Cd(OH)=Cd1CH3                                                                 1.NUVOOEE                    
AR0966   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OOH)Cd(OH)=Cd1CH3                                                                HNUVOOEE                    
AR0967   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(O.)Cd(NO2)=Cd1CH3                                                                  1.UVVOOEE                    
AR0968   #mmC2H(OH)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OOH)Cd(NO2)=Cd1CH3                                                                 HUVVOOEE                    
AR0969   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(O.)Cd(NO2)=Cd1CH3                                                                1.NUVVOEE                    
AR0970   #mmC2H(ONO2)C1(NO2)-O--O-C2(CH2CH3)C(OH)(OOH)Cd(NO2)=Cd1CH3                                                               HNUVVOEE                    
AR0971   #mmCH3c1cHcHcHc(CH3)c1CH3                                                                                                 R                            
AR0972   #mmCH3c1cHcHcHc(CH2(OO.))c1CH3                                                                                            2.R                      
AR0973   #mm-O2--O-C(CH3)(C1(OH)CH3)CH(OO.)CdH=CdHC12CH3                                                                           2.UOEE                    
AR0974   #mmCH3COCdH=CdHC1H-O-C1(CH3)COCH3                                                                                         UKKE                     
AR0975   #mmCH3c1cHcHc(OH)c(CH3)c1CH3                                                                                              RO                            
AR0976   #mmCH3c1cHcHcHc(CH2(O.))c1CH3                                                                                             1.R                      
AR0977   #mmCH3c1cHcHcHc(CH2(ONO2))c1CH3                                                                                           RN                            
AR0978   #mmCH3c1cHcHcHc(CH2(OOH))c1CH3                                                                                            RH                            
AR0979   #mm-O2--O-C(CH3)(C1(OH)CH3)CH(O.)CdH=CdHC12CH3                                                                            1.UOEE                    
AR0980   #mmC2H(ONO2)CdH=CdHC(CH3)(C1(OH)CH3)-O--O-C12CH3                                                                          NUOEE                    
AR0981   #mmC2H(OOH)CdH=CdHC(CH3)(C1(OH)CH3)-O--O-C12CH3                                                                           HUOEE                    
AR0982   #mmCH3COC1(CH3)-O-C1HCHO                                                                                                  DKE                      
AR0983   #mmCH3COCH(OH)CH(OO.)C1H-O-C1(CH3)COCH3                                                                                   2.KKOE                    
AR0984   #mmCH3c1cHcHc(O.)c(CH3)c1CH3                                                                                              1.R                      
AR0985   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(OO.)Cd(CH3)=Cd1CH3                                                                        2.UOOEE                    
AR0986   #mmCH3c1cHc(OH)c(OH)c(CH3)c1CH3                                                                                           ROO                      
AR0987   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(OO.)Cd(CH3)=Cd1CH3                                                                      2.NUOEE                    
AR0988   #mmCH3c1cHcHcHc(CHO)c1CH3                                                                                                 RD                            
AR0989   #mmCH3C1H-O-COCd(CH3)=Cd1CH3                                                                                              UKE                      
AR0990   #mmC2OCdH=CdHC(CH3)(C1(OH)CH3)-O--O-C12CH3                                                                                UKOEE                    
AR0991   #mmCH3COC1(CH3)-O-C1HCO(OO.)                                                                                              3.KKE                    
AR0992   #mmCH3COCH(OH)CH(O.)C1H-O-C1(CH3)COCH3                                                                                    1.KKOE                    
AR0993   #mmCH3COCH(OH)CH(ONO2)C1H-O-C1(CH3)COCH3                                                                                  NKKOE                    
AR0994   #mmCH3COCH(OH)CH(OOH)C1H-O-C1(CH3)COCH3                                                                                   HKKOE                    
AR0995   #mmCH3c1cHcHc(OO.)c(CH3)c1CH3                                                                                             2.R                      
AR0996   #mmCH3c1cHc(NO2)c(OH)c(CH3)c1CH3                                                                                          RVO                      
AR0997   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(O.)Cd(CH3)=Cd1CH3                                                                         1.UOOEE                    
AR0998   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(OOH)Cd(CH3)=Cd1CH3                                                                        HUOOEE                    
AR0999   #mmCH3c1cHc(OH)c(O.)c(CH3)c1CH3                                                                                           1.RO                     
AR1000   #T123CTCOOA                                                                                                               K                            
AR1001   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(O.)Cd(CH3)=Cd1CH3                                                                       1.NUOEE                    
AR1002   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(OOH)Cd(CH3)=Cd1CH3                                                                      HNUOEE                    
AR1003   #mmCH3c1cHcHcHc(CO(OO.))c1CH3                                                                                             3.RK                     
AR1004   #mmCH3C1H-O-COC(OO.)(CH3)C1(OH)CH3                                                                                        2.KOE                    
AR1005   #mmCH3C1(ONO2)C(OO.)(CH3)CO-O-C1HCH3                                                                                      2.NKE                    
AR1006   #mmCH3COC1(CH3)-O-C1HCO(OONO2)                                                                                            PKE                      
AR1007   #mmCH3COC1(CH3)-O-C1HCO(OOH)                                                                                              GKE                      
AR1008   #mmCH3COC1(CH3)-O-C1HCO(OH)                                                                                               AKE                      
AR1009   #mmCH3COCH(OH)COC1H-O-C1(CH3)COCH3                                                                                        KKKOE                    
AR1010   #mmCH3c1cHcHc(OOH)c(CH3)c1CH3                                                                                             RH                            
AR1011   #mmCH3c1cHc(NO2)c(O.)c(CH3)c1CH3                                                                                          1.RV                     
AR1012   #mmCH3c1c(OH)c(OH)c(NO2)c(CH3)c1CH3                                                                                       RVOO                     
AR1013   #mmCH3c1cHc(OH)c(OO.)c(CH3)c1CH3                                                                                          2.RO                     
AR1014   #mmCH3c1cHcHcHc(CO(OONO2))c1CH3                                                                                           RP                            
AR1015   #mmCH3c1cHcHcHc(CO(OOH))c1CH3                                                                                             RG                            
AR1016   #mmCH3c1cHcHcHc(CO(OH))c1CH3                                                                                              RA                            
AR1017   #mmCH3C1H-O-COC(O.)(CH3)C1(OH)CH3                                                                                         1.KOE                    
AR1018   #mmCH3C1H-O-COC(OOH)(CH3)C1(OH)CH3                                                                                        HKOE                     
AR1019   #mmCH3C1(ONO2)C(O.)(CH3)CO-O-C1HCH3                                                                                       1.NKE                    
AR1020   #mmCH3C1(ONO2)C(OOH)(CH3)CO-O-C1HCH3                                                                                      HNKE                     
AR1021   #mmCH3c1c(OH)c(NO2)c(NO2)c(CH3)c1CH3                                                                                      RVVO                     
AR1022   #mmCH3c1cHc(NO2)c(OO.)c(CH3)c1CH3                                                                                         2.RV                     
AR1023   #mm-O2--O-C(CH3)(C1(OH)CH3)C(OH)(OO.)Cd(OH)=Cd(NO2)C12CH3                                                                 2.UVOOOEE                    
AR1024   #mm-O2--O-C(CH3)(C1(ONO2)CH3)C(OH)(OO.)Cd(OH)=Cd(NO2)C12CH3                                                               2.NUVOOEE                    
AR1025   #mmCH3c1cHc(OH)c(OOH)c(CH3)c1CH3                                                                                          RHO                      
AR1026   #mmCH3Cd2=Cd(NO2)C(OH)(OO.)C(NO2)(C1(OH)CH3)-O--O-C12CH3                                                                  2.UVVOOEE                    
AR1027   #mmCH3Cd2=Cd(NO2)C(OH)(OO.)C(NO2)(C1(ONO2)CH3)-O--O-C12CH3                                                                2.NUVVOEE                    
AR1028   #mmCH3c1cHc(NO2)c(OOH)c(CH3)c1CH3                                                                                         RHV                      
AR1029   #mm-O2--O-C(CH3)(C1(OH)CH3)C(OH)(O.)Cd(OH)=Cd(NO2)C12CH3                                                                  1.UVOOOEE                    
AR1030   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1(OH)CH3)-O--O-C12CH3                                                                 HUVOOOEE                    
AR1031   #mm-O2--O-C(CH3)(C1(ONO2)CH3)C(OH)(O.)Cd(OH)=Cd(NO2)C12CH3                                                                1.NUVOOEE                    
AR1032   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1(ONO2)CH3)-O--O-C12CH3                                                               HNUVOOEE                    
AR1033   #mmCH3Cd2=Cd(NO2)C(OH)(O.)C(NO2)(C1(OH)CH3)-O--O-C12CH3                                                                   1.UVVOOEE                    
AR1034   #mmCH3Cd2=Cd(NO2)C(OH)(OOH)C(NO2)(C1(OH)CH3)-O--O-C12CH3                                                                  HUVVOOEE                    
AR1035   #mmCH3Cd2=Cd(NO2)C(OH)(O.)C(NO2)(C1(ONO2)CH3)-O--O-C12CH3                                                                 1.NUVVOEE                    
AR1036   #mmCH3Cd2=Cd(NO2)C(OH)(OOH)C(NO2)(C1(ONO2)CH3)-O--O-C12CH3                                                                HNUVVOEE                    
AR1037   #mmc1Hc(CH3)cHc(CH3)cHc1CH2CH3                                                                                            R                            
AR1038   #mmc1Hc(CH3)cHc(CH3)cHc1CH(OO.)CH3                                                                                        2.R                      
AR1039   #mm-O2--O-C(CH3)(C1H(OH))CH(OO.)Cd(CH3)=CdHC12CH2CH3                                                                      2.UOEE                    
